Dataset,n_estimators,max_depth,MAPE,RMSE,MAE,R2,Time(s)
Malaysia,16,6,3.627019631582097,2018.8579486818967,1553.5002174585895,0.9795421361923218,1.6713643074035645
Malaysia,16,7,3.3678610292732993,1880.6999728198423,1454.4847992443647,0.9822463393211365,2.9036753177642822
Malaysia,16,8,2.8754115974259897,1827.3679481006825,1309.8270270342384,0.983238935470581,4.420074462890625
Malaysia,17,3,4.4120080992491255,2411.0378441685284,1890.2356410625853,0.9708219170570374,0.48588085174560547
Malaysia,17,4,3.5105926677774972,2017.6602588480878,1540.996980927681,0.9795663952827454,0.9566311836242676
Malaysia,17,5,3.897525826249014,2137.9548842228273,1668.8447105532787,0.9770572185516357,0.8580813407897949
Malaysia,17,6,3.6146049900122046,2012.1616123357492,1548.131960008965,0.9796776175498962,1.755582571029663
Malaysia,17,7,3.341668292449304,1855.767276697054,1437.2782882940573,0.9827139377593994,3.094027519226074
Malaysia,17,8,3.9089198655285746,2094.7327710954128,1646.8991405716358,0.9779754877090454,4.679768800735474
Malaysia,18,3,3.5313304063418394,2164.527773846485,1591.417439111595,0.9764833450317383,0.3976273536682129
Malaysia,18,4,3.6403830000977284,2088.720586693219,1605.8015096695697,0.9781017303466797,0.5320417881011963
Malaysia,18,5,3.870584463771364,2127.9472912139468,1658.316246157787,0.9772714972496033,0.9193980693817139
Malaysia,18,6,3.6218291400147318,2011.8233717013966,1549.3279128778177,0.9796844720840454,1.8431522846221924
Malaysia,18,7,3.0947568691295153,1785.2627186754903,1351.555956230789,0.9840024709701538,3.335693359375
Malaysia,18,8,3.883764423399385,2088.7060431533714,1641.523073290215,0.9781020283699036,4.888278245925903
Malaysia,19,3,3.504587281380129,2138.1574507154387,1575.2431307099555,0.9770528674125671,0.40044689178466797
Malaysia,19,4,3.6565299209626394,2086.539168265626,1608.6061664852289,0.9781474471092224,0.5549533367156982
Malaysia,19,5,3.860659242253296,2124.9293885567236,1654.5987782295936,0.9773359298706055,0.9443385601043701
Malaysia,19,6,3.6240263593920816,2009.7465926477062,1549.0612832991803,0.9797263741493225,1.9176373481750488
Malaysia,19,7,3.34760527334556,1852.011197950827,1432.1958087858607,0.982783854007721,3.362992763519287
Malaysia,19,8,3.97547832208833,2109.33375884278,1666.3011521302938,0.9776673913002014,5.148255109786987
